Phase,Word1,Word2,Correct
Training,matogu,matogó,1
Training,śiękosz,siękosz,2
Training,bjaso,biaso,2
Experiment,odchanieć,odhanieć,1
Experiment,niszka,nirzka,1
Experiment,tuląmbia,tuląbia,2
Experiment,odponić,otponić,1
Experiment,zpodurzyć,spodurzyć,2
Experiment,umić,ómić,1
Experiment,miaska,mjaska,1
Experiment,pżur,przur,2
Experiment,fsubić,wsubić,2
Experiment,kontesta,kąntesta,1
Experiment,kabóję,kabuję,2
Experiment,brzak,bżak,1
Experiment,plasd,plast,2
Experiment,piedok,pjedok,1
Experiment,trzutek,tszutek,1
Experiment,łakó,łaku,2
Experiment,źibut,zibut,2
Experiment,pocimak,poćimak,1
Experiment,busk,busg,1
Experiment,onkoria,ąkoria,1
Experiment,lurzki,lużki,2
Experiment,zboć,sboć,1
Experiment,konoh,konoch,2
Experiment,trófka,trówka,2
Experiment,plaść,plaśdź,1
Experiment,tuźć,tuśdź,1
Experiment,samófki,samówki,2
Experiment,kah,kach,2
Experiment,zdziewić,sdziewić,1
Experiment,barzkami,bażkami,2
Experiment,endenia,ędenia,1
Experiment,łyzg,łysg,1
Experiment,nikorek,ńikorek,1
Experiment,karodźi,karodzi,2
Experiment,ponobó,ponobu,2
Experiment,chrzomić,chszomić,1
Experiment,tagię,tagję,1
Experiment,misd,mizd,2
Experiment,grzenas,gżenas,1
Experiment,sotóją,sotują,2
Experiment,wembiria,węmbiria,1
Experiment,fkić,wkić,2
Experiment,kżołap,krzołap,2
Experiment,pynię,pynję,1
Experiment,uwielać,ówielać,1
Experiment,zcholać,scholać,2
Experiment,odkacać,otkacać,1
Experiment,bęnk,bęk,2
Experiment,toszkami,torzkami,2
Experiment,schabić,shabić,1
