Phase,Word1,Word2,Word3,Correct
Training,matogu,matogó,kifka,1
Training,śiękosz,siękosz,rzanek,2
Training,bjaso,biaso,wak,2
Experiment,odchanieć,odhanieć,kront,1
Experiment,niszka,nirzka,foszka,1
Experiment,tuląmbia,tuląbia,tówka,2
Experiment,odponić,otponić,gąką,1
Experiment,zpodurzyć,spodurzyć,mierót,2
Experiment,umić,ómić,kuzg,1
Experiment,miaska,mjaska,zdrupki,1
Experiment,pżur,przur,tryźć,2
Experiment,fsubić,wsubić,brangi,2
Experiment,kontesta,kąntesta,prut,1
Experiment,kabóję,kabuję,cielesz,2
Experiment,brzak,bżak,niszczka,1
Experiment,plasd,plast,kłoźdź,2
Experiment,piedok,pjedok,cierąg,1
Experiment,trzutek,tszutek,palecz,1
Experiment,łakó,łaku,raśby,2
Experiment,źibut,zibut,guł,2
Experiment,pocimak,poćimak,cielesz,1
Experiment,busk,busg,ląs,1
Experiment,onkoria,ąkoria,szebka,1
Experiment,lurzki,lużki,kistka,2
Experiment,zboć,sboć,kromby,1
Experiment,konoh,konoch,gićki,2
Experiment,trófka,trówka,srudki,2
Experiment,plaść,plaśdź,kłonką,1
Experiment,tuźć,tuśdź,mierać,1
Experiment,samófki,samówki,fizka,2
Experiment,kah,kach,nyrzyć,2
Experiment,zdziewić,sdziewić,tażyć,1
Experiment,barzkami,bażkami,łazka,2
Experiment,endenia,ędenia,goleć,1
Experiment,łyzg,łysg,konka,1
Experiment,nikorek,ńikorek,kudkę,1
Experiment,karodźi,karodzi,mioćka,2
Experiment,ponobó,ponobu,lomba,2
Experiment,chrzomić,chszomić,włustki,1
Experiment,tagię,tagję,fiabka,1
Experiment,misd,mizd,wrąz,2
Experiment,grzenas,gżenas,birysz,1
Experiment,sotóją,sotują,druł,2
Experiment,wembiria,węmbiria,fiśba,1
Experiment,fkić,wkić,robocz,2
Experiment,kżołap,krzołap,tarag,2
Experiment,pynię,pynję,proźdź,1
Experiment,uwielać,ówielać,łażdżka,1
Experiment,zcholać,scholać,konyrz,2
Experiment,odkacać,otkacać,stut,1
